# wavelength_um flux err
2.295881509780883789e+00 5.746762156486511230e-01 5.826361477375030518e-02
2.295901060104370117e+00 6.281460523605346680e-01 5.174390599131584167e-02
2.295920610427856445e+00 9.021841287612915039e-01 6.158015504479408264e-02
2.295940160751342773e+00 1.180255532264709473e+00 4.329202696681022644e-02
2.295959472656250000e+00 1.258139014244079590e+00 4.051356762647628784e-02
2.295979261398315430e+00 1.231926441192626953e+00 3.887587785720825195e-02
2.295998811721801758e+00 1.145012140274047852e+00 3.861114010214805603e-02
2.296018362045288086e+00 1.071305513381958008e+00 3.260549530386924744e-02
2.296037912368774414e+00 1.021272897720336914e+00 4.280658811330795288e-02
2.296057462692260742e+00 9.131911993026733398e-01 3.945357725024223328e-02
2.296077013015747070e+00 9.412969946861267090e-01 3.101613372564315796e-02
2.296096563339233398e+00 1.200366735458374023e+00 3.811446204781532288e-02
2.296116113662719727e+00 1.351173400878906250e+00 2.696651779115200043e-02
2.296135663986206055e+00 1.347087740898132324e+00 3.281405568122863770e-02
2.296155214309692383e+00 1.305824160575866699e+00 5.334921926259994507e-02
2.296174764633178711e+00 1.118530035018920898e+00 4.729730635881423950e-02
2.296194314956665039e+00 1.076140999794006348e+00 4.248657450079917908e-02
2.296213626861572266e+00 9.837838411331176758e-01 4.640029370784759521e-02
2.296233177185058594e+00 1.019257664680480957e+00 2.751847170293331146e-02
2.296252727508544922e+00 9.094244837760925293e-01 3.523062542080879211e-02
2.296272277832031250e+00 8.644044399261474609e-01 3.593998774886131287e-02
2.296291828155517578e+00 8.633735179901123047e-01 3.628326952457427979e-02
2.296311378479003906e+00 6.870790123939514160e-01 3.395215421915054321e-02
2.296330928802490234e+00 4.598176181316375732e-01 5.351632460951805115e-02
2.296350479125976562e+00 4.254339635372161865e-01 6.579254567623138428e-02
2.296370029449462891e+00 7.111963033676147461e-01 3.287628665566444397e-02
2.296389579772949219e+00 1.038224458694458008e+00 3.511809557676315308e-02
2.296409130096435547e+00 1.141373991966247559e+00 3.463454544544219971e-02
2.296428680419921875e+00 1.230806350708007812e+00 3.275209292769432068e-02
2.296447992324829102e+00 1.148159861564636230e+00 4.374349862337112427e-02
2.296467542648315430e+00 9.893708825111389160e-01 3.559443727135658264e-02
2.296487092971801758e+00 1.122422695159912109e+00 2.732028998434543610e-02
2.296506643295288086e+00 1.284883141517639160e+00 4.572253674268722534e-02
2.296526193618774414e+00 1.157652497291564941e+00 3.340803831815719604e-02
2.296545743942260742e+00 1.281698584556579590e+00 3.330265730619430542e-02
2.296565294265747070e+00 1.267418503761291504e+00 2.729884162545204163e-02
2.296584844589233398e+00 1.238253951072692871e+00 3.848754987120628357e-02
2.296604394912719727e+00 1.197794198989868164e+00 3.956340253353118896e-02
2.296623706817626953e+00 1.232840538024902344e+00 4.182366654276847839e-02
2.296643257141113281e+00 1.421878933906555176e+00 3.789598867297172546e-02
2.296662807464599609e+00 1.477123141288757324e+00 3.428852930665016174e-02
2.296682119369506836e+00 1.477944612503051758e+00 4.659320414066314697e-02
2.296701669692993164e+00 1.381806254386901855e+00 3.478866443037986755e-02
2.296721220016479492e+00 1.340042233467102051e+00 4.092589020729064941e-02
2.296740770339965820e+00 1.208376288414001465e+00 4.764489457011222839e-02
2.296760320663452148e+00 1.066836953163146973e+00 3.614788129925727844e-02
2.296779870986938477e+00 9.117257595062255859e-01 3.223135322332382202e-02
2.296799421310424805e+00 9.560997486114501953e-01 4.508686810731887817e-02
2.296818971633911133e+00 1.059876561164855957e+00 3.092539496719837189e-02
2.296838283538818359e+00 1.016608595848083496e+00 3.852266073226928711e-02
2.296857833862304688e+00 7.543421983718872070e-01 3.986780717968940735e-02
2.296877384185791016e+00 4.642300009727478027e-01 3.555098921060562134e-02
2.296896934509277344e+00 4.933682382106781006e-01 2.807724662125110626e-02
2.296916484832763672e+00 8.109784126281738281e-01 3.096231445670127869e-02
2.296935796737670898e+00 9.629808664321899414e-01 4.694693163037300110e-02
2.296955347061157227e+00 1.239782094955444336e+00 3.566719964146614075e-02
2.296974658966064453e+00 1.278229951858520508e+00 4.474837705492973328e-02
2.296994209289550781e+00 1.346733689308166504e+00 2.777191065251827240e-02
2.297013759613037109e+00 1.269285559654235840e+00 2.908790856599807739e-02
2.297033309936523438e+00 1.284356832504272461e+00 2.518367581069469452e-02
2.297052860260009766e+00 1.244348049163818359e+00 4.049972444772720337e-02
2.297072410583496094e+00 1.274652242660522461e+00 4.030526429414749146e-02
2.297091722488403320e+00 1.395606637001037598e+00 3.778256103396415710e-02
2.297111272811889648e+00 1.430856704711914062e+00 2.668129093945026398e-02
2.297130823135375977e+00 1.362870454788208008e+00 3.799219056963920593e-02
